"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 10 15:13:08 ICT 2023","Wed May 10 15:13:11 ICT 2023","3747","","","","","","Test Interactions inputs",""
"passed","Thu May 18 17:16:15 ICT 2023","Thu May 18 17:16:23 ICT 2023","8028","","","","","","Register test 01",""
"passed","Mon Apr 17 14:57:13 ICT 2023","Mon Apr 17 14:57:22 ICT 2023","8370","","","","","","Calendar moment",""
"passed","Thu May 25 13:17:13 ICT 2023","Thu May 25 13:17:26 ICT 2023","12882","","","page object model demo","","","Register test 01",""
"passed","Wed May 10 15:13:12 ICT 2023","Wed May 10 15:13:14 ICT 2023","2180","","","","","","Sum",""
"passed","Mon May 15 17:11:29 ICT 2023","Mon May 15 17:11:35 ICT 2023","6068","","","page object model demo","","","Register test 01",""
"passed","Thu May 18 15:21:28 ICT 2023","Thu May 18 15:21:41 ICT 2023","13765","","","","","","data test",""
"passed","Sat May 13 09:09:26 ICT 2023","Sat May 13 09:09:40 ICT 2023","14145","","","page object model demo","","","Add to cart",""
"passed","Sat May 13 09:09:19 ICT 2023","Sat May 13 09:09:26 ICT 2023","6908","","","page object model demo","","","Login test 02",""
"broken","Thu May 25 13:17:46 ICT 2023","Thu May 25 13:18:21 ICT 2023","35132","","","page object model demo","","","Add to cart",""
"passed","Thu May 25 13:17:26 ICT 2023","Thu May 25 13:17:46 ICT 2023","19965","","","page object model demo","","","Login test 02",""
"passed","Wed May 10 15:13:14 ICT 2023","Wed May 10 15:13:16 ICT 2023","1958","","","","","","Check box",""
